Taxa	BW8	GLUCOM
52302	670.93427	NaN
52402	689.06573	NaN
52502	513.93427	NaN
52602	748.06573	NaN
52702	821.93427	NaN
52802	771.93427	NaN
52902	354.0657	218.0
53002	541.93427	267.0
53102	567.06573	NaN
53202	520.06573	NaN
53302	910.93427	249.0
53402	810.06573	NaN
53602	524.93427	NaN
53702	771.06573	221.0
53802	790.06573	206.0
53902	946.93427	NaN
54102	500.9343	262.0
54202	732.06573	NaN
54302	589.06573	214.0
54502	842.06573	NaN
54602	876.93427	NaN
54702	1092.9343	237.0
54802	684.93427	299.0
54902	711.93427	NaN
55002	755.93427	NaN
55202	826.93427	234.0
55402	700.06573	209.0
55502	886.93427	NaN
55602	537.06573	210.0
55702	842.93427	NaN
55802	840.93427	235.0
55902	569.06573	NaN
56002	792.06573	214.0
56102	1138.9343	NaN
56202	996.93427	235.0
56302	663.93427	229.0
56402	802.06573	190.0
56502	779.93427	233.0
56602	859.06573	186.0
56702	527.06573	NaN
56802	690.06573	204.0
56902	742.06573	NaN
57002	684.06573	NaN
57102	687.93427	NaN
57402	NaN	NaN
57502	661.06573	NaN
57602	583.06573	NaN
57702	766.06573	196.0
57802	559.06573	NaN
57902	707.06573	213.0
58002	541.93427	NaN
58202	701.93427	265.0
58302	727.06573	197.0
58402	NaN	NaN
58502	611.06573	188.0
58702	588.06573	207.0
58802	799.93427	NaN
58902	712.06573	202.0
59002	623.93427	NaN
59102	727.06573	NaN
59202	739.06573	NaN
59302	572.06573	204.0
59502	567.06573	NaN
59602	701.06573	NaN
59702	588.06573	NaN
59802	686.93427	NaN
59902	NaN	NaN
60002	590.06573	NaN
60102	429.9343	NaN
60202	683.93427	NaN
60302	896.93427	249.0
60402	336.0657	NaN
60502	754.93427	NaN
60602	670.06573	206.0
60802	550.06573	232.0
60902	648.93427	246.0
61002	692.06573	NaN
61102	617.06573	248.0
61202	492.0657	NaN
61302	720.93427	NaN
61402	515.06573	222.0
61502	337.0657	NaN
61602	418.9343	269.0
61702	NaN	NaN
61802	NaN	NaN
61902	384.0657	219.0
62002	363.0657	NaN
62102	511.9343	NaN
62202	680.93427	249.0
62302	503.0657	224.0
62402	579.93427	277.0
62502	295.9343	NaN
62602	601.93427	NaN
62702	411.0657	133.0
62802	769.93427	NaN
62902	553.06573	NaN
63002	640.06573	239.0
63102	790.93427	NaN
63302	1013.93427	272.0
63402	599.06573	225.0
63502	563.06573	NaN
63602	805.93427	NaN
63702	680.06573	182.0
63802	631.93427	NaN
63902	462.9343	260.0
64002	771.93427	240.0
64102	393.0657	214.0
64202	858.93427	NaN
64302	613.06573	NaN
64402	582.06573	199.0
64502	870.93427	246.0
64702	886.93427	NaN
64802	548.06573	199.0
64902	546.93427	240.0
65002	554.93427	250.0
65102	902.93427	NaN
65202	774.93427	NaN
65402	607.93427	255.0
65502	604.93427	NaN
65602	546.06573	NaN
65802	660.93427	NaN
65902	415.9343	NaN
66002	549.06573	209.0
66102	733.93427	NaN
66202	574.06573	NaN
66302	537.06573	227.0
66402	470.0657	228.0
66502	609.93427	258.0
66602	688.93427	NaN
66802	412.0657	203.0
67102	890.93427	261.0
67202	786.93427	237.0
67302	505.0657	NaN
67402	996.93427	227.0
67502	NaN	NaN
67602	656.06573	NaN
67802	586.06573	220.0
67902	663.06573	237.0
68102	555.06573	242.0
68202	395.9343	245.0
68302	748.93427	NaN
68402	NaN	NaN
68502	NaN	NaN
68602	646.06573	218.0
68702	541.93427	NaN
68802	790.06573	NaN
68902	653.93427	238.0
69002	503.0657	209.0
69302	646.93427	NaN
69402	643.93427	NaN
69502	NaN	NaN
69602	377.0657	188.0
69702	479.9343	NaN
69802	452.0657	226.0
70002	855.93427	NaN
70102	328.0657	194.0
70202	777.06573	218.0
70302	181.0657	NaN
70402	243.0657	NaN
70602	257.0657	NaN
70702	705.06573	NaN
70902	387.0657	222.0
71002	623.93427	260.0
71202	NaN	NaN
71302	222.9343	279.0
71402	647.06573	NaN
71502	582.06573	NaN
71702	571.06573	NaN
71802	542.93427	NaN
71902	NaN	NaN
72002	344.0657	202.0
72102	516.93427	232.0
72202	882.93427	NaN
72302	302.0657	233.0
72402	661.06573	NaN
72502	596.93427	262.0
72602	690.93427	NaN
72802	257.9343	276.0
72902	680.93427	228.0
73002	1008.93427	NaN
73302	505.0657	225.0
73402	486.0657	NaN
73502	521.06573	212.0
73602	174.0657	NaN
73702	750.06573	NaN
73802	764.93427	NaN
73902	780.06573	205.0
74002	801.06573	218.0
74102	811.93427	253.0
74202	512.06573	NaN
74302	718.93427	268.0
74502	613.93427	NaN
74602	764.93427	249.0
74802	NaN	NaN
74902	NaN	NaN
75002	NaN	NaN
75102	541.06573	NaN
75202	463.9343	NaN
75302	377.0657	221.0
75402	493.9343	NaN
75602	486.9343	236.0
75902	716.93427	247.0
76002	588.06573	222.0
76202	NaN	NaN
76302	581.93427	249.0
76402	583.06573	NaN
76502	502.9343	NaN
76602	703.93427	NaN
76702	663.06573	NaN
76902	431.9343	235.0
77002	711.06573	NaN
77102	508.0657	NaN
77202	559.93427	254.0
77302	569.93427	NaN
77402	654.93427	217.0
77502	595.06573	193.0
77602	702.93427	NaN
77702	238.9343	211.0
77902	NaN	NaN
78102	597.93427	241.0
78202	632.06573	254.0
78302	1036.9343	NaN
78402	687.93427	281.0
78502	296.9343	254.0
78602	841.93427	269.0
78702	263.0657	220.0
78802	240.0657	NaN
78902	500.0657	NaN
79002	782.06573	200.0
79102	897.93427	254.0
79202	759.93427	NaN
79302	765.06573	NaN
79402	706.93427	253.0
79502	641.06573	217.0
79602	720.06573	NaN
79702	668.06573	NaN
79802	406.0657	201.0
79902	NaN	NaN
80002	482.9343	254.0
80102	572.06573	215.0
80202	673.93427	219.0
80302	746.93427	245.0
80402	277.9343	NaN
80502	964.93427	NaN
80602	407.9343	NaN
80702	483.9343	NaN
80802	814.93427	255.0
80902	675.93427	243.0
81002	718.06573	205.0
81102	718.06573	NaN
81202	747.06573	NaN
81402	502.0657	NaN
81502	NaN	NaN
81602	716.93427	NaN
81702	729.06573	227.0
81902	724.06573	229.0
82002	452.9343	NaN
82302	881.93427	NaN
82402	977.93427	NaN
82702	341.0657	NaN
82802	333.0657	215.0
82902	456.0657	NaN
83002	779.93427	NaN
83102	628.93427	NaN
83202	750.93427	236.0
83302	325.0657	NaN
83502	686.06573	208.0
83602	461.9343	NaN
83702	296.9343	NaN
83802	531.06573	NaN
84102	387.9343	250.0
84202	744.06573	NaN
84302	812.93427	243.0
84402	547.06573	NaN
84502	695.06573	203.0
84602	653.06573	188.0
84702	720.93427	250.0
84902	606.06573	NaN
85002	703.93427	NaN
85102	684.06573	NaN
85202	191.0657	542.0
85302	212.9343	494.0
85402	634.06573	201.0
85502	823.93427	NaN
85602	646.06573	207.0
85702	434.0657	182.0
85802	781.93427	207.0
85902	337.9343	NaN
86202	573.06573	171.0
86302	847.06573	NaN
86402	327.0657	NaN
86502	482.9343	251.0
86602	833.93427	NaN
86702	582.93427	209.0
86802	605.93427	NaN
86902	737.06573	207.0
87002	585.06573	202.0
87102	601.06573	197.0
87202	410.9343	NaN
87402	521.06573	219.0
87502	654.06573	NaN
87602	931.06573	NaN
87702	791.93427	NaN
87802	743.93427	246.0
87902	806.06573	NaN
88002	736.93427	NaN
88102	579.93427	246.0
88302	NaN	NaN
88402	591.06573	NaN
88502	323.0657	NaN
88602	549.06573	144.0
88702	680.93427	227.0
88802	647.06573	NaN
88902	606.93427	252.0
89002	698.06573	180.0
89102	620.06573	NaN
89202	627.06573	NaN
89402	917.93427	247.0
89502	862.93427	240.0
89802	429.9343	237.0
89902	721.06573	NaN
90002	648.06573	189.0
90102	963.06573	218.0
90202	1009.93427	NaN
90302	661.06573	198.0
90502	782.93427	NaN
90702	589.06573	201.0
90902	391.0657	NaN
91302	607.93427	206.0
91402	768.93427	NaN
91502	456.9343	NaN
91602	603.93427	248.0
91702	343.0657	196.0
91902	NaN	NaN
92002	995.06573	217.0
92202	534.06573	211.0
92302	658.06573	212.0
92602	NaN	NaN
92702	642.93427	232.0
92902	571.06573	NaN
93102	250.0657	206.0
93202	529.06573	248.0
93302	822.06573	NaN
93402	658.93427	240.0
93502	338.0657	NaN
93602	597.93427	228.0
93702	319.9343	NaN
93802	783.06573	214.0
94002	727.93427	255.0
94102	768.06573	NaN
94202	552.06573	NaN
94302	684.06573	NaN
94402	306.0657	NaN
94502	452.0657	NaN
94602	631.06573	NaN
94702	709.06573	200.0
94802	514.06573	NaN
94902	NaN	NaN
95002	688.06573	NaN
95102	543.06573	NaN
95202	750.06573	NaN
95302	676.06573	231.0
95402	485.0657	NaN
95702	431.0657	194.0
95802	871.93427	250.0
95902	917.06573	227.0
96002	NaN	NaN
96102	582.93427	257.0
96202	531.06573	226.0
96302	960.93427	265.0
96402	779.93427	261.0
96502	1004.93427	NaN
96602	819.06573	NaN
96702	805.93427	265.0
96802	763.93427	NaN
96902	1012.93427	273.0
97002	659.06573	NaN
97202	681.06573	NaN
97302	478.9343	NaN
97402	624.93427	NaN
97502	726.06573	282.0
97602	917.93427	251.0
97702	631.93427	NaN
97802	652.06573	213.0
97902	268.9343	NaN
98002	662.93427	253.0
98102	589.06573	239.0
98302	739.06573	NaN
98502	808.06573	NaN
98602	898.93427	NaN
98702	562.93427	248.0
98802	837.06573	NaN
98902	563.93427	NaN
99002	416.9343	NaN
99102	517.93427	211.0
99202	467.9343	NaN
99302	767.06573	231.0
99402	853.06573	NaN
99502	821.93427	NaN
99802	661.06573	227.0
